CODE	Leftmost	Topmost	Rightmost	Bottommost	Offset_Y	U_COORD_1	V_COORD_1	U_COORD_2	V_COORD_2	U_COORD_3	V_COORD_3	U_COORD_4	V_COORD_4	U_COORD_5	V_COORD_5	U_COORD_6	V_COORD_6
177	344	543	361	565	4	0.671875	0.5517578125	0.671875	0.5302734375	0.705078125	0.5302734375	0.671875	0.5517578125	0.705078125	0.5517578125	0.705078125	0.5302734375
178	381	539	392	553	0	0.744140625	0.5400390625	0.744140625	0.5263671875	0.765625	0.5263671875	0.744140625	0.5400390625	0.765625	0.5400390625	0.765625	0.5263671875
179	415	539	426	554	0	0.810546875	0.541015625	0.810546875	0.5263671875	0.83203125	0.5263671875	0.810546875	0.541015625	0.83203125	0.541015625	0.83203125	0.5263671875
180	453	539	461	544	0	0.884765625	0.53125	0.884765625	0.5263671875	0.900390625	0.5263671875	0.884765625	0.53125	0.900390625	0.53125	0.900390625	0.5263671875
181	481	547	498	572	-47	0.939453125	0.55859375	0.939453125	0.5341796875	0.97265625	0.5341796875	0.939453125	0.55859375	0.97265625	0.55859375	0.97265625	0.5341796875
182	3	598	19	628	4	0.005859375	0.61328125	0.005859375	0.583984375	0.037109375	0.583984375	0.005859375	0.61328125	0.037109375	0.61328125	0.037109375	0.583984375
183	42	611	48	617	17	0.08203125	0.6025390625	0.08203125	0.5966796875	0.09375	0.5966796875	0.08203125	0.6025390625	0.09375	0.6025390625	0.09375	0.5966796875
184	77	624	81	630	30	0.150390625	0.615234375	0.150390625	0.609375	0.158203125	0.609375	0.150390625	0.615234375	0.158203125	0.615234375	0.158203125	0.609375
185	107	598	119	613	4	0.208984375	0.5986328125	0.208984375	0.583984375	0.232421875	0.583984375	0.208984375	0.5986328125	0.232421875	0.5986328125	0.232421875	0.583984375
186	141	600	153	618	6	0.275390625	0.603515625	0.275390625	0.5859375	0.298828125	0.5859375	0.275390625	0.603515625	0.298828125	0.603515625	0.298828125	0.5859375
